,Day,pos_neg_ratio_month
0,2016-06-25,3.5
492,2016-10-21,2.2111111111111112
1031,2017-04-17,2.4959349593495936
1783,2016-08-23,2.4761904761904763
2555,2016-04-27,4.701492537313433
3203,2019-03-28,2.753623188405797
4785,2018-10-01,2.6758130081300813
10301,2017-08-13,2.305511811023622
24941,2017-06-15,1.7165705296276874
41398,2017-06-14,1.7165705296276874
42913,2017-02-17,2.674030846185911
51369,2017-02-16,2.674030846185911
58994,2016-12-19,2.4077640686126993
69080,2016-12-18,2.4077640686126993
75391,2016-12-17,2.4077640686126993
78708,2016-02-28,4.003355704697986
87005,2016-02-27,4.003355704697986
94576,2016-02-26,4.003355704697986
95182,2018-11-29,2.4418320195705356
119565,2018-11-28,2.4418320195705356
131601,2018-02-06,1.6230147673446642
198174,2018-02-05,1.6230147673446642
203561,2017-10-11,1.8236784938450399
225052,2017-10-10,1.8236784938450399
247258,2017-10-09,1.8236784938450399
269590,2017-10-08,1.8236784938450399
284944,2017-10-07,1.8236784938450399
286771,2018-08-03,2.8741405082212257
314725,2018-08-02,2.8741405082212257
338418,2018-08-01,2.8741405082212257
363803,2018-07-31,2.3688776938147216
381804,2017-12-09,1.9036575195583971
437468,2017-12-08,1.9036575195583971
494294,2018-06-05,2.6644719340250065
521632,2018-06-04,2.6644719340250065
546500,2018-06-03,2.6644719340250065
568009,2018-06-02,2.6644719340250065
583047,2018-04-07,2.0307422559906487
608919,2018-04-06,2.0307422559906487
639073,2018-04-05,2.0307422559906487
670183,2018-04-04,2.0307422559906487
699664,2018-04-03,2.0307422559906487
706404,2019-01-27,2.2113574693817686
720785,2019-01-26,2.2113574693817686
736509,2019-01-25,2.2113574693817686
753394,2019-01-24,2.2113574693817686
771890,2019-01-23,2.2113574693817686
790891,2019-01-22,2.2113574693817686
809249,2019-01-21,2.2113574693817686
826049,2019-01-20,2.2113574693817686
840456,2019-01-19,2.2113574693817686
855679,2019-01-18,2.2113574693817686
873540,2019-01-17,2.2113574693817686
891041,2019-01-16,2.2113574693817686
